question,answer
"                ""text"": ""am looking for a place to to stay that has cheap price range it should be in a type of hotel"",","                ""text"": ""Okay, do you have a specific area you want to stay in?"","
"                ""text"": ""no, i just need to make sure it's cheap. oh, and i need parking"",","                ""text"": ""I found 1 cheap hotel for you that includes parking. Do you like me to book it?"","
"                ""text"": ""Yes, please. 6 people 3 nights starting on tuesday."",","                ""text"": ""I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?"","
"                ""text"": ""how about only 2 nights."",","                ""text"": ""Booking was successful.\nReference number is : 7GAWK763. Anything else I can do for you?"","
"                ""text"": ""No, that will be all. Good bye."",","                ""text"": ""Thank you for using our services."","
"                ""text"": ""Hello, I have been robbed.  Can you please help me get in touch with the police?"",","                ""text"": ""Parkside Police Station is in Parkside, Cambridge. Their number is 01223358966. Anything else I can do for you?"","
"                ""text"": ""Can I please have the postcode as well?"",","                ""text"": ""The postcode for the Parkside Police Station is CB11JG. Can I help you with anything else?"","
"                ""text"": ""Was Parkside the address of the police station? If not, can I have the address please?"",","                ""text"": ""Yes, Parkside is the address."","
"                ""text"": ""Thank you that will be all for now."",","                ""text"": ""Great. Thank you for contacting Cambridge Towninfo Centre."","
"                ""text"": ""You were great. Goodbye."",","                ""text"": ""We are happy to help. Have a good day!"","
"                ""text"": ""I need to book a hotel in the east that has 4 stars.  "",","                ""text"": ""I can help you with that. What is your price range?"","
"                ""text"": ""That doesn't matter as long as it has free wifi and parking."",","                ""text"": ""If you'd like something cheap, I recommend the Allenbell. For something moderately priced, I would recommend the Warkworth House."","
"                ""text"": ""Could you book the Wartworth for one night, 1 person?"",","                ""text"": ""What day will you be staying?"","
"                ""text"": ""I am looking to book a train that is leaving from Cambridge to Bishops Stortford on Friday. "",","                ""text"": ""There are a number of trains leaving throughout the day.  What time would you like to travel?"","
"                ""text"": ""I want to get there by 19:45 at the latest. "",","                ""text"": ""Okay! The latest train you can take leaves at 17:29, and arrives by 18:07. Would you like for me to book that for you?"","
"                ""text"": ""Yes please. I also need the travel time, departure time, and price."",","                ""text"": ""Reference number is : UIFV8FAS. The price is 10.1 GBP and the trip will take about 38 minutes. May I be of any other assistance?"","
"                ""text"": ""Yes. Sorry, but suddenly my plans changed. Can you change the Wartworth booking to Monday for 3 people and 4 nights?"",","                ""text"": ""I have made that change and your reference number is YF86GE4J"","
"                ""text"": ""Thank you very much, goodbye."",","                ""text"": ""You're welcome. Have a nice day!"","
"                ""text"": ""Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?"",","                ""text"": ""There are over 1,000 trains like that.  Where will you be departing from?"","
"                ""text"": ""I am departing from birmingham new street."",","                ""text"": ""Can you confirm your desired travel day?"","
"                ""text"": ""I would like to leave on wednesday"",","                ""text"": ""I show a train leaving birmingham new street at 17:40 and arriving at 20:23 on Wednesday.  Will this work for you?"","
"                ""text"": ""That will, yes. Please make a booking for 5 people please."",","                ""text"": ""I've booked your train tickets, and your reference number is A9NHSO9Y."","
"                ""text"": ""Thanks so much. I would also need a place to say. I am looking for something with 4 stars and has free wifi. "",","                ""text"": ""How about the cambridge belfry?  It has all the attributes you requested and a great name!  Maybe even a real belfry?"","
