question,answer
What is pizza hut?,Pizza hut is a large chain with restaurants nationwide offering convenience pizzas pasta and salads to eat in or take away
What type of dishes curry garden serves?,curry garden serves traditional indian and bangladeshi cuisine cooked with fresh produce delivered every day
What type of dishes taj tandoori serves?,taj tandoori serves a variety of indian dishes to eat in or take away catering for private parties of up to 50 guests is available upon request
what type of restaurant is curry prince?,curry prince is a neighbourhood indian restaurant serving authentic cuisine
what type of dishes are served at charlie chan restaurant?,charlie chan serves a variety of popular chinese dishes at their restaurant
what type of dishes are served at eraina?,eraina serves a variety of drinks and european dishes with influences from france spain italy and greece catering for vegetarians is also provided
whare is arms restaurant loacted at?,arms restaurant one seven is located at Regent street
what is the address of pizza hut?,Pizza hut is on Regent street
where is hotel curry garden located at?,Hotel curry garden is at Regent street
where is good luck chinese food located at?,good luck chinese food is located at cherry hinton road in south
where is pizza hut located at?,pizza hut is on cherry hinton road
what is the address of taj tandoori?,taj tandoori is on cherry hinton road
what type of dishes are served at yu garden?,yu garden serves authentic chinese cuisine
where is charlie chan located at?,charlie chan is on Regent street
what is the best place in centre cambridge?,pizza express is the best place in centre cambridge
where is eraina located at?,eraina is located at city centre
what is the address of pizza express?,pizza express is at city centre tower
what type of dishes are served at jinling noodle bar?,jinling noodle bar serves a wide range of chinese and shanghai dishes reflecting many different flavours and ingredients
what type of spot is de luca cucina?,"de luca cucina bar in the heart of cambridge is a stylish spot to enjoy food, wine, cocktails and coffee all in a vibrant atmosphere. The cocktail bar at the front is perfect for coffee and light meals in the day and cocktails in the evening. An open kitchen provides real excitement with head chef darren kiegher and his team preparing simply delicious italian food using locally sourced ingredients"
what is the address of de luca cucina?,de luca cucina bar is located at Regent street
what type of food is served at tandoori palace?,tandoori palace serve a variety of indian and bangladeshi dishes and can cater for private parties of up to 110 guests upon request
where is tandoori palace located at?,tandoori palace is located at Histon Road Chesterton
what type of dishes are served at kohinoor?,kohinoor serves a variety of indian and vegetarian dishes
any best pizza places in cambridge?,pizza hut and pizza express are the best pizza places in cambridge
what is the address of kohinoor restaurant?,kohinoor serves a variety of indian and vegetarian dishes at their restaurant a takeaway and delivery service is also available
what is the address of abbey pool?,abbey pool and astroturf pitch is located on whitehill road
where is abc theatre located at?,adc theatre is located on park street
where is all saints church located at?,all saints church is loacted on jesus lane
what is the address of broughton house gallery?,broughton house gallery is loacted on 98 king street
what is byard art?,Byard art is a museum
what is the address of byard museum?,Byard museum is located at 14 king's parade
what is the address of cafe jello gallery?,cafe jello gallery is located at 13 magdalene street
when byard art museum opens?,Byard art opens from 09:30 a.m. to 5:30 p.m
open hours of café jello gallery?,café jello gallery opens from 10:30 a.m. to 5:30 p.m
what is the address of cambridge county folk museum?,cambridge county folk museum is located at 2-3 castle street
open hours of cambridge county folk museum?,cambridge county folk museum opens from 10 a.m. to 5 p.m
what is the address of cambridge arts theatre?,cambridge arts theatre is located at 6 saint edward's passage
where is cambridge artworks museum located at?,cambridge artworks museum is located at 5 greens road
open hours of cambridge book and print gallery?,cambridge book and print gallery opens from 10:00 a.m. to 5:00 p.m
what is the address of cambridge book and print gallery?,cambridge book and print gallery is located at 49 newnham road
where is cambridge contemporary art loacted at?,cambridge contemporary art is loacted at 6 trinity street
when cambridge contemporary art opens?,cambridge contemporary art opens from 11:00 a.m. to 4:00 p.m
what is the address of cambridge museum of technology?,cambridge museum of technology is located at the old pumping station cheddars lane
where is cambridge university botanic gardens park located at?,cambridge university botanic gardens park is located at bateman street
open hours of cambridge university botanic gardens park?,cambridge university botanic gardens park opens from 10:00 a.m. to 6:00 p.m
what is the address of castle galleries?,castle galleries is located at unit su43 saint andrews street
what is the address of christ's college?,christ's college is located at saint andrew's street
open hours of castle galleries?,castle galleries opens from 09:00 a.m. to 6:00 p.m
where is churchill college located at?,churchill college is located at storey's way
when churchill college opens?,churchill college opens normally daily from 9 a.m. to 5 p.m
where is a and b guest house located at?,a and b guest house is located at 124 tenison road
pricerange of a and b guest house?,a and b guest house is a moderate pricerange hotel
what is the address of acron guest house?,acron guest house is located at 154 chesterton road
pricerange of acron guest house?,acron guest house is a moderate pricerange hotel
what is the address of alexander bed and breakfast?,alexander bed and breakfast is located at 56 saint barnabas road
pricerange of alexander bed and breakfast?,alexander bed and breakfast is a cheap pricerange hotel
where is allenbell hotel located at?,allenbell is located at 517a coldham lane
pricerange of allenbell hotel?,allenbell is a cheap pricerange hotel
where is alpha-milton guest house located at?,alpha-milton guest house is loacted at 63 milton road
what is the address of arbury lodge guesthouse?,arbury lodge guesthouse is located at 82 arbury road
pricerange of alpha-milton guest house?,alpha-milton guest house is a moderate pricerange hotel
pricerange of arbury lodge guesthouse?,arbury lodge guesthouse is a moderate pricerange hotel
where is archway house located at?,archway house is located at 52 gilbert road
pricerange of archway house?,archway house is a moderate pricerange hotel
where is ashley hotel located at?,ashley hotel is located at 74 chesterton road
what is the address of autumn house?,autumn house is located at 710 newmarket road
pricerange of ashley hotel?,ashley hotel is a moderate pricerange hotel
pricerange of autumn house?,autumn house is a cheap pricerange hotel
what is the address of avalon hotel?,avalon hotel is located at 62 gilbert road
pricerange of acvalon hotel?,avalon is a moderate pricerange hotel
what is the address of aylesbray lodge?,aylesbray lodge guest house is located at 5 mowbray road
pricerange of aylesbray lodge guest house?,aylesbray lodge guest house is moderate pricrange hotel
what is the address of bridge guest house?,bridge guest house is located at 151 hills road
pricerange of bridge guest house is?,bridge guest house is a moderate pricerange hotel
where is Parkside Police Station located at?,Parkside Police Station is located at Parkside Cambridge
what is the phone number of parkside police station?,Parkside Police Station's phone number is 01223358966
what is chiquito restaurant bar?,chiquito is a chain of inexpensive tex mex restaurants predominantly aimed at tourists. They serve a variety of mexican and north of the border food as well as a range of cocktails
